Title,Ethnic Group,Place,Date,Subjects,Photographer's categories,Photographer's notes,Description,Photographer,Scan number,Institution,Department,Collection,Database information,Rights,Format,Date created,Date modified,Reference URL
"Serbian Wedding, Milwaukee, WI, 1992",Serbian,"Milwaukee, WI",1992,Bride price | Prenuptial rites | Marriage customs and rites | Marriage rituals,Prenuptial | Bride | Traditional apparel | Father | Bride price | Sibling | Gifts | Marriage contract,"Serbian society centers around the Orthodox Church, as does the community in Milwaukee, where I photograph two weddings in a splendid cathedral, built in 1956-58, in which couples celebrate both the nuptial rite and the reception. One couple belongs to a folk dance group and elects to wear national dress, keeping many old-world customs at the home of the bride before the church ceremony as well as later during the reception in the church hall.--Katrina Thomas","The bargain is struck for $110 plus $3 which symbolizes the Holy Trinity.  In addition, one of Joey's brothers, who owns a garage, signs a certificate, offering a free tune-up of Nada's father's car.","Thomas, Katrina",56.03.tif,Bryn Mawr College,Bryn Mawr College Special Collections,Katrina Thomas Ethnic Wedding Photographs,"This image is part of a larger digital database of ethnic wedding photographs taken by Katrina Thomas (Bryn Mawr Class of 1949), documenting more than 70 ethnic and religious groups in the United States. For more information about the database, visit http://triptych.brynmawr.edu/cdm4/wedding.php.","For information on reproducing the images in this collection, please contact SpecColl@brynmawr.edu.",Black-and-white photograph,1/29/2008,10/18/2013,http://tricontentdm.brynmawr.edu:80/cdm/ref/collection/BMC_Weddings/id/261
"Serbian Wedding, Milwaukee, WI, 1992",Serbian,"Milwaukee, WI",1992,Honoring wedding couple | Wedding party | Ritual food and drink | Marriage customs and rites | Marriage rituals,Post-nuptial | Dancing | Newlyweds | Best man | Godfather | Traditional tool | Sharing drink,"Serbian society centers around the Orthodox Church, as does the community in Milwaukee, where I photograph two weddings in a splendid cathedral, built in 1956-58, in which couples celebrate both the nuptial rite and the reception. One couple belongs to a folk dance group and elects to wear national dress, keeping many old-world customs at the home of the bride before the church ceremony as well as later during the reception in the church hall.--Katrina Thomas","Dancing on the plaza with Nada and Joey and friends, the kum holds the wooden ""cutura"" of plum brandy.","Thomas, Katrina",56.07.tif,Bryn Mawr College,Bryn Mawr College Special Collections,Katrina Thomas Ethnic Wedding Photographs,"This image is part of a larger digital database of ethnic wedding photographs taken by Katrina Thomas (Bryn Mawr Class of 1949), documenting more than 70 ethnic and religious groups in the United States. For more information about the database, visit http://triptych.brynmawr.edu/cdm4/wedding.php.","For information on reproducing the images in this collection, please contact SpecColl@brynmawr.edu.",Black-and-white photograph,1/29/2008,10/18/2013,http://tricontentdm.brynmawr.edu:80/cdm/ref/collection/BMC_Weddings/id/262
"Serbian Wedding, Milwaukee, WI, 1992",Serbian,"Milwaukee, WI",1992,Honoring wedding couple | Wedding party | Marriage customs and rites | Marriage rituals,Post-nuptial | Newlyweds | Best man | Godfather | Traditional apparel | Dancing | Children,"Serbian society centers around the Orthodox Church, as does the community in Milwaukee, where I photograph two weddings in a splendid cathedral, built in 1956-58, in which couples celebrate both the nuptial rite and the reception. One couple belongs to a folk dance group and elects to wear national dress, keeping many old-world customs at the home of the bride before the church ceremony as well as later during the reception in the church hall.--Katrina Thomas","After the Orthodox nuptial rite, Nada and Joey emerge on the church steps above the plaza where their wedding guests are dancing. The best man, or ""kum,"" who will be godfather to all their children, throws coins to the crowd.","Thomas, Katrina",56.05.tif,Bryn Mawr College,Bryn Mawr College Special Collections,Katrina Thomas Ethnic Wedding Photographs,"This image is part of a larger digital database of ethnic wedding photographs taken by Katrina Thomas (Bryn Mawr Class of 1949), documenting more than 70 ethnic and religious groups in the United States. For more information about the database, visit http://triptych.brynmawr.edu/cdm4/wedding.php.","For information on reproducing the images in this collection, please contact SpecColl@brynmawr.edu.",Black-and-white photograph,1/29/2008,10/18/2013,http://tricontentdm.brynmawr.edu:80/cdm/ref/collection/BMC_Weddings/id/263
"Serbian Wedding, Milwaukee, WI, 1992",Serbian,"Milwaukee, WI",1992,Dancing | Reception | Feast | Marriage customs and rites | Marriage rituals,Feast and reception | Bride | Dancing | Folk dance | Traditional apparel | Bridal attendants,"Serbian society centers around the Orthodox Church, as does the community in Milwaukee, where I photograph two weddings in a splendid cathedral, built in 1956-58, in which couples celebrate both the nuptial rite and the reception. One couple belongs to a folk dance group and elects to wear national dress, keeping many old-world customs at the home of the bride before the church ceremony as well as later during the reception in the church hall.--Katrina Thomas","Nada, who is very familiar with the old country folk dances, leads her bridesmaids through the ""kolo,"" a circular chain dance, popular in the Balkans.","Thomas, Katrina",56.12.tif,Bryn Mawr College,Bryn Mawr College Special Collections,Katrina Thomas Ethnic Wedding Photographs,"This image is part of a larger digital database of ethnic wedding photographs taken by Katrina Thomas (Bryn Mawr Class of 1949), documenting more than 70 ethnic and religious groups in the United States. For more information about the database, visit http://triptych.brynmawr.edu/cdm4/wedding.php.","For information on reproducing the images in this collection, please contact SpecColl@brynmawr.edu.",Black-and-white photograph,1/29/2008,10/18/2013,http://tricontentdm.brynmawr.edu:80/cdm/ref/collection/BMC_Weddings/id/264
"Serbian Wedding, Milwaukee, WI, 1992",Serbian,"Milwaukee, WI",1992,Reception | Feast | Marriage customs and rites | Marriage rituals,Feast and reception | Bride | Pranks | Penalties | Dancing | Bridal attendants | Traditional apparel | ,"Serbian society centers around the Orthodox Church, as does the community in Milwaukee, where I photograph two weddings in a splendid cathedral, built in 1956-58, in which couples celebrate both the nuptial rite and the reception. One couple belongs to a folk dance group and elects to wear national dress, keeping many old-world customs at the home of the bride before the church ceremony as well as later during the reception in the church hall.--Katrina Thomas","When Nada's felt ""opanke"" are stolen the ""stari svat"" buys them back and puts them back on her feet because he failed in his duty to protect the bride.","Thomas, Katrina",56.10.tif,Bryn Mawr College,Bryn Mawr College Special Collections,Katrina Thomas Ethnic Wedding Photographs,"This image is part of a larger digital database of ethnic wedding photographs taken by Katrina Thomas (Bryn Mawr Class of 1949), documenting more than 70 ethnic and religious groups in the United States. For more information about the database, visit http://triptych.brynmawr.edu/cdm4/wedding.php.","For information on reproducing the images in this collection, please contact SpecColl@brynmawr.edu.",Black-and-white photograph,1/29/2008,10/18/2013,http://tricontentdm.brynmawr.edu:80/cdm/ref/collection/BMC_Weddings/id/265
"Serbian Wedding, Milwaukee, WI, 1991",Serbian,"Milwaukee, WI",1991,Food ceremony--Wedding cake | Ritual food and drink | Marriage customs and rites | Marriage rituals,Feast and reception | Newlyweds | Cake | Sharing food | Documentation,"Serbian society centers around the Orthodox Church, as does the community in Milwaukee, where I photograph two weddings in a splendid cathedral, built in 1956-58, in which couples celebrate both the nuptial rite and the reception. One couple belongs to a folk dance group and elects to wear national dress, keeping many old-world customs at the home of the bride before the church ceremony as well as later during the reception in the church hall.--Katrina Thomas","After cutting one of 13 cakes with various fillings, Milena and Greg feed each other cautiously.  All the cakes have white icing, decorated with pink roses or red and white lilies. No guests are present;  this is a photo opportunity for their videographer and hired photographer.","Thomas, Katrina",56.09.tif,Bryn Mawr College,Bryn Mawr College Special Collections,Katrina Thomas Ethnic Wedding Photographs,"This image is part of a larger digital database of ethnic wedding photographs taken by Katrina Thomas (Bryn Mawr Class of 1949), documenting more than 70 ethnic and religious groups in the United States. For more information about the database, visit http://triptych.brynmawr.edu/cdm4/wedding.php.","For information on reproducing the images in this collection, please contact SpecColl@brynmawr.edu.",Black-and-white photograph,1/29/2008,10/18/2013,http://tricontentdm.brynmawr.edu:80/cdm/ref/collection/BMC_Weddings/id/266
"Serbian Wedding, Milwaukee, WI, 1992",Serbian,"Milwaukee, WI",1992,Prenuptial rites | Wedding costume--Wedding dress | Marriage customs and rites | Marriage rituals,Prenuptial | Traditional apparel | Bride | ,"Serbian society centers around the Orthodox Church, as does the community in Milwaukee, where I photograph two weddings in a splendid cathedral, built in 1956-58, in which couples celebrate both the nuptial rite and the reception. One couple belongs to a folk dance group and elects to wear national dress, keeping many old-world customs at the home of the bride before the church ceremony as well as later during the reception in the church hall.--Katrina Thomas","Veiled and dressed, Nada is not permitted to leave home for the wedding ceremony until Jovo/Joey's brothers jokingly negotiate a bride price with her father, who must seal the bargain by drinking a cup of slivovitz (plum brandy).  The bridegroom is waiting for Nada at the church.","Thomas, Katrina",56.01.tif,Bryn Mawr College,Bryn Mawr College Special Collections,Katrina Thomas Ethnic Wedding Photographs,"This image is part of a larger digital database of ethnic wedding photographs taken by Katrina Thomas (Bryn Mawr Class of 1949), documenting more than 70 ethnic and religious groups in the United States. For more information about the database, visit http://triptych.brynmawr.edu/cdm4/wedding.php.","For information on reproducing the images in this collection, please contact SpecColl@brynmawr.edu.",Black-and-white photograph,1/29/2008,10/18/2013,http://tricontentdm.brynmawr.edu:80/cdm/ref/collection/BMC_Weddings/id/267
"Serbian Wedding, Milwaukee, WI, 1992",Serbian,"Milwaukee, WI",1992,Honoring wedding couple | Marriage customs and rites | Marriage rituals,Post-nuptial | Best man | Godfather | Sharing drink | Traditional tool | ,"Serbian society centers around the Orthodox Church, as does the community in Milwaukee, where I photograph two weddings in a splendid cathedral, built in 1956-58, in which couples celebrate both the nuptial rite and the reception. One couple belongs to a folk dance group and elects to wear national dress, keeping many old-world customs at the home of the bride before the church ceremony as well as later during the reception in the church hall.--Katrina Thomas","The kum passes around a celebratory drink of plum brandy, slivovitz, in a wooden flask, a ""cutura,"" while the wedding guests continue to dance.","Thomas, Katrina",56.06.tif,Bryn Mawr College,Bryn Mawr College Special Collections,Katrina Thomas Ethnic Wedding Photographs,"This image is part of a larger digital database of ethnic wedding photographs taken by Katrina Thomas (Bryn Mawr Class of 1949), documenting more than 70 ethnic and religious groups in the United States. For more information about the database, visit http://triptych.brynmawr.edu/cdm4/wedding.php.","For information on reproducing the images in this collection, please contact SpecColl@brynmawr.edu.",Black-and-white photograph,1/29/2008,10/18/2013,http://tricontentdm.brynmawr.edu:80/cdm/ref/collection/BMC_Weddings/id/268
"Serbian Wedding, Milwaukee, WI, 1992",Serbian,"Milwaukee, WI",1992,Dancing | Wedding party | Wedding music | Marriage customs and rites | Marriage rituals,Prenuptial | Dancing | Folk dance | Traditional apparel | Bride | Best man | Bridal attendants | Music | ,"Serbian society centers around the Orthodox Church, as does the community in Milwaukee, where I photograph two weddings in a splendid cathedral, built in 1956-58, in which couples celebrate both the nuptial rite and the reception. One couple belongs to a folk dance group and elects to wear national dress, keeping many old-world customs at the home of the bride before the church ceremony as well as later during the reception in the church hall.--Katrina Thomas","Before meeting the bridegroom in church, Nada and the second best man, or ""stari svat,"" dance on the lawn with their attendants, attired in traditional ""nosjne"" of Lika. The holds her hand tightly as it is his role to protect the bride on her wedding day.","Thomas, Katrina",56.04.tif,Bryn Mawr College,Bryn Mawr College Special Collections,Katrina Thomas Ethnic Wedding Photographs,"This image is part of a larger digital database of ethnic wedding photographs taken by Katrina Thomas (Bryn Mawr Class of 1949), documenting more than 70 ethnic and religious groups in the United States. For more information about the database, visit http://triptych.brynmawr.edu/cdm4/wedding.php.","For information on reproducing the images in this collection, please contact SpecColl@brynmawr.edu.",Black-and-white photograph,1/29/2008,10/18/2013,http://tricontentdm.brynmawr.edu:80/cdm/ref/collection/BMC_Weddings/id/269
"Serbian Wedding, Milwaukee, WI, 1992",Serbian,"Milwaukee, WI",1992,Honoring wedding couple | Wedding party | Marriage customs and rites | Marriage rituals,Post-nuptial | Newlyweds | Best man | Godfather | Children | Dancing | Gifts | ,"Serbian society centers around the Orthodox Church, as does the community in Milwaukee, where I photograph two weddings in a splendid cathedral, built in 1956-58, in which couples celebrate both the nuptial rite and the reception. One couple belongs to a folk dance group and elects to wear national dress, keeping many old-world customs at the home of the bride before the church ceremony as well as later during the reception in the church hall.--Katrina Thomas","After the Orthodox nuptial rite, Nada and Joey emerge on the church steps above the plaza where their wedding guests are dancing. The ""kum,"" who is a central figure in a wedding, throws coins to the crowd.","Thomas, Katrina",56.05a.tif,Bryn Mawr College,Bryn Mawr College Special Collections,Katrina Thomas Ethnic Wedding Photographs,"This image is part of a larger digital database of ethnic wedding photographs taken by Katrina Thomas (Bryn Mawr Class of 1949), documenting more than 70 ethnic and religious groups in the United States. For more information about the database, visit http://triptych.brynmawr.edu/cdm4/wedding.php.","For information on reproducing the images in this collection, please contact SpecColl@brynmawr.edu.",Black-and-white photograph,1/29/2008,10/18/2013,http://tricontentdm.brynmawr.edu:80/cdm/ref/collection/BMC_Weddings/id/270
"Serbian Wedding, Milwaukee, WI, 1992",Serbian,"Milwaukee, WI",1992,Dancing | Bridesmaids | Reception | Feast | Marriage customs and rites | Marriage rituals,Feast and reception | Bride | Dancing | Folk dance | Traditional apparel | Bridal,"Serbian society centers around the Orthodox Church, as does the community in Milwaukee, where I photograph two weddings in a splendid cathedral, built in 1956-58, in which couples celebrate both the nuptial rite and the reception. One couple belongs to a folk dance group and elects to wear national dress, keeping many old-world customs at the home of the bride before the church ceremony as well as later during the reception in the church hall.--Katrina Thomas","During the wedding feast, Nada and her attendants, wearing traditional dress, are joined by a guest dancing the ""kolo,"" a two-beat Balkan folk dance for fast feet with little movement above the waist.","Thomas, Katrina",C56.15.tif,Bryn Mawr College,Bryn Mawr College Special Collections,Katrina Thomas Ethnic Wedding Photographs,"This image is part of a larger digital database of ethnic wedding photographs taken by Katrina Thomas (Bryn Mawr Class of 1949), documenting more than 70 ethnic and religious groups in the United States. For more information about the database, visit http://triptych.brynmawr.edu/cdm4/wedding.php.","For information on reproducing the images in this collection, please contact SpecColl@brynmawr.edu.",Color photograph,1/29/2008,10/18/2013,http://tricontentdm.brynmawr.edu:80/cdm/ref/collection/BMC_Weddings/id/271
"Serbian Wedding, Milwaukee, WI, 1992",Serbian,"Milwaukee, WI",1992,Honoring wedding couple | Wedding party | Wedding costume | Marriage customs and rites | Marriage rituals,Feast and reception | Bride | Dancing | Folk dance | Traditional apparel | Bridal,"Serbian society centers around the Orthodox Church, as does the community in Milwaukee, where I photograph two weddings in a splendid cathedral, built in 1956-58, in which couples celebrate both the nuptial rite and the reception. One couple belongs to a folk dance group and elects to wear national dress, keeping many old-world customs at the home of the bride before the church ceremony as well as later during the reception in the church hall.--Katrina Thomas","Nada and Joey, with the ""kum"" and friends, dance on the plaza.  The bride wears a white dress with red embroidery, a red embroidered apron and black jacket trimmed with red.  Nada has added her great-grandfather's black cap with the Serbian crest on the crown to which she has attached a veil.  Her only jewelry is a necklace and earrings of Serbian gold ducats.","Thomas, Katrina",C56.14.tif,Bryn Mawr College,Bryn Mawr College Special Collections,Katrina Thomas Ethnic Wedding Photographs,"This image is part of a larger digital database of ethnic wedding photographs taken by Katrina Thomas (Bryn Mawr Class of 1949), documenting more than 70 ethnic and religious groups in the United States. For more information about the database, visit http://triptych.brynmawr.edu/cdm4/wedding.php.","For information on reproducing the images in this collection, please contact SpecColl@brynmawr.edu.",Color photograph,1/29/2008,10/18/2013,http://tricontentdm.brynmawr.edu:80/cdm/ref/collection/BMC_Weddings/id/272
"Serbian Wedding, Milwaukee, WI, 1991",Serbian,"Milwaukee, WI",1991,Nuptial rites | Wedding costume | Marriage customs and rites | Marriage rituals,Nuptial rite | Location | Bride | Bridegroom | Altar,"Serbian society centers around the Orthodox Church, as does the community in Milwaukee, where I photograph two weddings in a splendid cathedral, built in 1956-58, in which couples celebrate both the nuptial rite and the reception. One couple belongs to a folk dance group and elects to wear national dress, keeping many old-world customs at the home of the bride before the church ceremony as well as later during the reception in the church hall.--Katrina Thomas","During their the nuptial rite in the Orthodox cathedral, Milena and Gregory are married, while standing at the opening of the iconostasis, its several icons set in glistening gold mosaics.","Thomas, Katrina",C56.13.tif,Bryn Mawr College,Bryn Mawr College Special Collections,Katrina Thomas Ethnic Wedding Photographs,"This image is part of a larger digital database of ethnic wedding photographs taken by Katrina Thomas (Bryn Mawr Class of 1949), documenting more than 70 ethnic and religious groups in the United States. For more information about the database, visit http://triptych.brynmawr.edu/cdm4/wedding.php.","For information on reproducing the images in this collection, please contact SpecColl@brynmawr.edu.",Color photograph,1/29/2008,10/18/2013,http://tricontentdm.brynmawr.edu:80/cdm/ref/collection/BMC_Weddings/id/273
"Russian Wedding, New York, NY, 1974",Russian,"New York, NY",1974,Nuptial rites | Marriage customs and rites | Marriage rituals,Nuptial rite | Bride | Bridegroom | Crowns | Kissing | ,"Although the earliest Russians settled Alaska, several waves of immigrants, starting in1917, fled the Soviet regime, the most recent being Russian Jews.  However, the majority in the U.S. belong to the Russian Orthodox Church, which played an important role in developing Russia™s national identity, and these are the nuptials I photograph.  During the nuptial rite, the couple marrying stands under heavy gold crowns while the groomsmen behind them take turns holding their weight over the heads of the bride and groom.--Katrina Thomas","Splendid gold crowns, owned by the church, are held by groomsmen over the heads of Alexandra and John during the nuptial rite, signifying the newly wed as king and queen of their household.  Toward the end of the ceremony, officiated by two priests, John kisses the crown.","Thomas, Katrina",53.02.tif,Bryn Mawr College,Bryn Mawr College Special Collections,Katrina Thomas Ethnic Wedding Photographs,"This image is part of a larger digital database of ethnic wedding photographs taken by Katrina Thomas (Bryn Mawr Class of 1949), documenting more than 70 ethnic and religious groups in the United States. For more information about the database, visit http://triptych.brynmawr.edu/cdm4/wedding.php.","For information on reproducing the images in this collection, please contact SpecColl@brynmawr.edu.",Black-and-white photograph,1/30/2008,10/18/2013,http://tricontentdm.brynmawr.edu:80/cdm/ref/collection/BMC_Weddings/id/274
"Russian Wedding, East Meadow, NY, 1977",Russian,"East Meadow, NY",1977,Dancing | Honoring wedding couple | Marriage customs and rites | Marriage rituals,Feast and reception | Dancing | Newlyweds | Honoring | Circling | ,"Although the earliest Russians settled Alaska, several waves of immigrants, starting in1917, fled the Soviet regime, the most recent being Russian Jews.  However, the majority in the U.S. belong to the Russian Orthodox Church, which played an important role in developing Russia™s national identity, and these are the nuptials I photograph.  During the nuptial rite, the couple marrying stands under heavy gold crowns while the groomsmen behind them take turns holding their weight over the heads of the bride and groom.--Katrina Thomas","After their Russian Orthodox rite, during the wedding the feast, guests honor Charles and Christine, holding hands and dancing around the newlyweds.","Thomas, Katrina",53.03.tif,Bryn Mawr College,Bryn Mawr College Special Collections,Katrina Thomas Ethnic Wedding Photographs,"This image is part of a larger digital database of ethnic wedding photographs taken by Katrina Thomas (Bryn Mawr Class of 1949), documenting more than 70 ethnic and religious groups in the United States. For more information about the database, visit http://triptych.brynmawr.edu/cdm4/wedding.php.","For information on reproducing the images in this collection, please contact SpecColl@brynmawr.edu.",Black-and-white photograph,1/30/2008,10/18/2013,http://tricontentdm.brynmawr.edu:80/cdm/ref/collection/BMC_Weddings/id/275
"Russian Wedding, East Meadows, NY, 1977",Russian,"East Meadows, NY",1977,Nuptial rites | Marriage customs and rites | Marriage rituals,Nuptial rite | Bride | Bridegroom | Crowns | Bridal attendants | ,"Although the earliest Russians settled Alaska, several waves of immigrants, starting in1917, fled the Soviet regime, the most recent being Russian Jews.  However, the majority in the U.S. belong to the Russian Orthodox Church, which played an important role in developing Russia™s national identity, and these are the nuptials I photograph.  During the nuptial rite, the couple marrying stands under heavy gold crowns while the groomsmen behind them take turns holding their weight over the heads of the bride and groom.--Katrina Thomas","The groomsmen, in turn, hold the heavy gold crowns above the heads of Charles and Christine during the Russian Orthodox nuptial rite.  The crowns are provided by the church in which the couple are married.","Thomas, Katrina",53.04.tif,Bryn Mawr College,Bryn Mawr College Special Collections,Katrina Thomas Ethnic Wedding Photographs,"This image is part of a larger digital database of ethnic wedding photographs taken by Katrina Thomas (Bryn Mawr Class of 1949), documenting more than 70 ethnic and religious groups in the United States. For more information about the database, visit http://triptych.brynmawr.edu/cdm4/wedding.php.","For information on reproducing the images in this collection, please contact SpecColl@brynmawr.edu.",Black-and-white photograph,1/30/2008,10/18/2013,http://tricontentdm.brynmawr.edu:80/cdm/ref/collection/BMC_Weddings/id/276
"Russian Wedding, East Meadow, NY, 1977",Russian,"East Meadow, NY",1977,Nuptial rites | Marriage customs and rites | Marriage rituals,Nuptial rite | Interfaith | Bride | Bridegroom | Crowns | Bridal attendants | ,"Although the earliest Russians settled Alaska, several waves of immigrants, starting in1917, fled the Soviet regime, the most recent being Russian Jews.  However, the majority in the U.S. belong to the Russian Orthodox Church, which played an important role in developing Russia™s national identity, and these are the nuptials I photograph.  During the nuptial rite, the couple marrying stands under heavy gold crowns while the groomsmen behind them take turns holding their weight over the heads of the bride and groom.--Katrina Thomas","Christine and Charles are married under crowns in the faith of the bride who is Russian Orthodox.  Her bridesmaids, holding bouquets, stand by while his groomsmen take turns holding the heavy crowns.","Thomas, Katrina",53.01.tif,Bryn Mawr College,Bryn Mawr College Special Collections,Katrina Thomas Ethnic Wedding Photographs,"This image is part of a larger digital database of ethnic wedding photographs taken by Katrina Thomas (Bryn Mawr Class of 1949), documenting more than 70 ethnic and religious groups in the United States. For more information about the database, visit http://triptych.brynmawr.edu/cdm4/wedding.php.","For information on reproducing the images in this collection, please contact SpecColl@brynmawr.edu.",Black-and-white photograph,1/30/2008,10/18/2013,http://tricontentdm.brynmawr.edu:80/cdm/ref/collection/BMC_Weddings/id/277
"Roman Catholic Wedding, St. Michaels, MD, 1973",Roman Catholic,"St. Michaels, MD",1973,Nuptial rites | Ritual food and drink | Marriage customs and rites,Nuptial rite | Location | Bride | Bridegroom | Sharing drink,Roman Catholics are of many ethnic backgrounds but do not introduce customs of their heritage into the long established liturgy.--Katrina Thomas,"Married in a rural church known as Old St. Joseph's, Branton and Stephanie take communion during their the nuptial mass.","Thomas, Katrina",52.03.tif,Bryn Mawr College,Bryn Mawr College Special Collections,Katrina Thomas Ethnic Wedding Photographs,"This image is part of a larger digital database of ethnic wedding photographs taken by Katrina Thomas (Bryn Mawr Class of 1949), documenting more than 70 ethnic and religious groups in the United States. For more information about the database, visit http://triptych.brynmawr.edu/cdm4/wedding.php.","For information on reproducing the images in this collection, please contact SpecColl@brynmawr.edu.",Black-and-white photograph,1/30/2008,10/18/2013,http://tricontentdm.brynmawr.edu:80/cdm/ref/collection/BMC_Weddings/id/278
"Roman Catholic Wedding, Annapolis, MD, 1978",Roman Catholic,"Annapolis, MD",1978,Nuptial rites | Wedding party | Altar | Marriage customs and rites | Marriage rituals | ,Nuptial rite | Newlyweds | Location | Bridal attendants | Altar | Blessing - religious | ,Roman Catholics are of many ethnic backgrounds but do not introduce customs of their heritage into the long established liturgy.--Katrina Thomas,"At the end of the nuptial mass the bridal party stands before the altar of St. Mary's Church in Annapolis, MD while a Catholic priest blesses the newlyweds.","Thomas, Katrina",52.01.tif,Bryn Mawr College,Bryn Mawr College Special Collections,Katrina Thomas Ethnic Wedding Photographs,"This image is part of a larger digital database of ethnic wedding photographs taken by Katrina Thomas (Bryn Mawr Class of 1949), documenting more than 70 ethnic and religious groups in the United States. For more information about the database, visit http://triptych.brynmawr.edu/cdm4/wedding.php.","For information on reproducing the images in this collection, please contact SpecColl@brynmawr.edu.",Black-and-white photograph,1/30/2008,10/18/2013,http://tricontentdm.brynmawr.edu:80/cdm/ref/collection/BMC_Weddings/id/279
"Roman Catholic Wedding, Washington, DC, 1978",Roman Catholic,"Washington, DC",1977,Nuptial rites | Marriage customs and rites | Marriage rituals,Nuptial rite | Bride | Bridegroom | Kneeling | Sharing food | ,Roman Catholics are of many ethnic backgrounds but do not introduce customs of their heritage into the long established liturgy.--Katrina Thomas,"In taking communion during their the nuptial mass, Peter and Daphne kneel before the priest.  Peter observes while the priest puts a wafer into Daphne's mouth.","Thomas, Katrina",52.02.tif,Bryn Mawr College,Bryn Mawr College Special Collections,Katrina Thomas Ethnic Wedding Photographs,"This image is part of a larger digital database of ethnic wedding photographs taken by Katrina Thomas (Bryn Mawr Class of 1949), documenting more than 70 ethnic and religious groups in the United States. For more information about the database, visit http://triptych.brynmawr.edu/cdm4/wedding.php.","For information on reproducing the images in this collection, please contact SpecColl@brynmawr.edu.",Black-and-white photograph,1/30/2008,10/18/2013,http://tricontentdm.brynmawr.edu:80/cdm/ref/collection/BMC_Weddings/id/280
"Packaged Wedding, Gatlinburg, TN, 1991",Packaged,"Gatlinburg, TN",1991,Garter ceremony | Marriage customs and rites | Marriage rituals,Post-nuptial | Documentation | Newlyweds | Bouquet and garter,"Wanting to photograph some quickie weddings, I fly to Las Vegas and also to Tennessee where chapels thrive by providing all-inclusive wedding packages at short notice so that a couple need do not more than make an appointment to wed, most popular on New Year™s Day and St. Valentine™s.--Katrina Thomas","Terrell removes his bride's garter for the photographic record of a second wedding for both on St. Valentine's Day, chosen for its romantic significance.","Thomas, Katrina",46.03.tif,Bryn Mawr College,Bryn Mawr College Special Collections,Katrina Thomas Ethnic Wedding Photographs,"This image is part of a larger digital database of ethnic wedding photographs taken by Katrina Thomas (Bryn Mawr Class of 1949), documenting more than 70 ethnic and religious groups in the United States. For more information about the database, visit http://triptych.brynmawr.edu/cdm4/wedding.php.","For information on reproducing the images in this collection, please contact SpecColl@brynmawr.edu.",Black-and-white photograph,1/31/2008,10/18/2013,http://tricontentdm.brynmawr.edu:80/cdm/ref/collection/BMC_Weddings/id/281
"Packaged Wedding, Gatlinburg, TN, 1991",Packaged,"Gatlinburg, TN",1991,Garter ceremony | Marriage customs and rites | Marriage rituals,Post-nuptial | Location&lt;b&gt;Documentation | Newlyweds | Bouquet and garter,"Wanting to photograph some quickie weddings, I fly to Las Vegas and also to Tennessee where chapels thrive by providing all-inclusive wedding packages at short notice so that a couple need do not more than make an appointment to wed, most popular on New Year™s Day and St. Valentine™s.--Katrina Thomas",A wedding chapel provides all the necessities for Sheryl and Terrell's 12-minute the nuptial rite. These include a video and a photo album for which a photographer gives Sheryl a garter to put on while Terrell holds her bouquet which was also provided for her.,"Thomas, Katrina",46.02.tif,Bryn Mawr College,Bryn Mawr College Special Collections,Katrina Thomas Ethnic Wedding Photographs,"This image is part of a larger digital database of ethnic wedding photographs taken by Katrina Thomas (Bryn Mawr Class of 1949), documenting more than 70 ethnic and religious groups in the United States. For more information about the database, visit http://triptych.brynmawr.edu/cdm4/wedding.php.","For information on reproducing the images in this collection, please contact SpecColl@brynmawr.edu.",Black-and-white photograph,1/31/2008,10/18/2013,http://tricontentdm.brynmawr.edu:80/cdm/ref/collection/BMC_Weddings/id/282
"Packaged Wedding, Las Vegas, NV, 1991",Packaged,"Las Vegas, NV",1991,Nuptial rites | Marriage customs and rites | Marriage rituals,Nuptial rite | Location | Conveyance | Ring | Bride and groom,"Wanting to photograph some quickie weddings, I fly to Las Vegas and also to Tennessee where chapels thrive by providing all-inclusive wedding packages at short notice so that a couple need do not more than make an appointment to wed, most popular on New Year™s Day and St. Valentine™s.--Katrina Thomas","Having obtained their marriage license at the courthouse, Robert and Debra, seated in a rented limousine at a Las Vegas drive-up window, repeat their vows and exchange rings in a three-minute ceremony conducted by a minister.","Thomas, Katrina",46.01.tif,Bryn Mawr College,Bryn Mawr College Special Collections,Katrina Thomas Ethnic Wedding Photographs,"This image is part of a larger digital database of ethnic wedding photographs taken by Katrina Thomas (Bryn Mawr Class of 1949), documenting more than 70 ethnic and religious groups in the United States. For more information about the database, visit http://triptych.brynmawr.edu/cdm4/wedding.php.","For information on reproducing the images in this collection, please contact SpecColl@brynmawr.edu.",Black-and-white photograph,1/31/2008,10/18/2013,http://tricontentdm.brynmawr.edu:80/cdm/ref/collection/BMC_Weddings/id/283
